Name,text,Sarcasm,Humor
corona26.png,अभी वैक्सीन आने की खुशी पूरी भी नहीं हुई थी.... इतने में कोरोना आकर बोला... धप्पा,1,1
kalam62.png,"सपने वो नहीं जो आप सोते समय देखते हैं, बल्कि सपने वो है, जो आपको सोने नहीं देते।",1,0
fileee_42.png,जब आप सीक्रेटली बजरंग दाल जॉइन करके अपने होमी को उसकी महिलामित्र के साथ वैलेंटाइन दिवस की योजना बनाते सुन लेते हो,1,1
match292.png,जब कभी भी अपनी खूबसूरती पर घमंड हो जाए तब अपने आधार कार्ड का फोटो देख लेना,2,1
test47.png,पप्पू - मैं आपसे शादी करना चाहता हूँ लड़की - मेरी सगाई हो गयी है पप्पू - Oh ! तो फिर तू मेरी बहन बनके अपनी सहेली से सेटिंग करा दे....,0,1
hindi_meme321.png,देश की उम्मीद का नाम है 'मोदी' देश की तरक्की का मौका है 'मोदी' देश में सुशासन का प्रमाण है 'मोदी' देश के अरमानों की जान है 'मोदी',2,1
corona89.png,यही कोरोना अगर चुनाव के बढ़त के वक़्त आता तो टैंकरों से घर पर सेनेटाइजर बटता.. और मास्क तो ऐसे आते जैसे भंडारे में पूरियां आ रही हैं।,2,1
politics60.png,"राहुल गाँधी बोले कि , ""यदि मैं संसद में 15 मिनट भाषण दूँगा न, तो मोदी जी खड़े नहीं रह पायेंगे... यकिन मानिये यह सुनकर तो मैं खुद खड़ा नहीं रह पाया.... लोट-लोट- होकर, पेट पकड़कर गिर गया",2,1
test55.png,"हयौ !!! हम्मरा ,मैथिली बार नीक सां बाजs अबै यs",0,1
rel446.png,धर्म के नाम पर वोट मांगना गैरकानूनी मुंबई में ओवैसी के खिलाफ दर्ज हुआ पहला मामला,2,0
cong136.png,"एक समय था जब मुझे लगता था कि राहुल गांधी ही हैं हो देश को बदल सकता है, उस दिन से आज तक फिर कभी मैंने भांग को हाथ नहीं लगाया कसम से",2,1
hin_abc76.png,आपके हाथ से ये अवार्ड पाकर में धन्य हो गया !,2,0
corona409.png,"दुल्हन ससुराल पहुंची : जिस दिन उसे खाना बनाना था, सास ने कहा बेटी तुझे जो भी बनाने आता है बना ले... बहु ने 10 मिनट बाद सास से पूछा :",0,1
